in:WWR,in:ShadeDepth,in:SHGC/VLT,in:U-Value,in:ExWall,out:EUI(kWh/m2),out:Normalized HVACp (W/m2),out:Average DA,out:Concrete KgCO2e,out:PB KgCO2e,out:Glasswool KgCO2e,out:Glass KgCO2e,out:Total KgCO2e,out:$ kWh/annual,out: WOL (KgCO2e/20yrs),img
25,0,0.22/30,3,R1.4,62.16,13.05,21.91,289746.71,83548.7,4961000,21347.49,5355642.9,28724,7998213,WWR0_ShadeDepth0_SHGCVLT0_U-Value0_ExWall0.png
50,0,0.22/30,3,R1.4,68.11,14.4,58.89,277680.74,82057.65,4860100,37014.9,5256853.29,31473,8152372,WWR1_ShadeDepth0_SHGCVLT0_U-Value0_ExWall0.png
75,0,0.22/30,3,R1.4,75.97,15.49,82.36,265614.76,80566.61,4759200,52682.32,5158063.69,35105,8387730,WWR2_ShadeDepth0_SHGCVLT0_U-Value0_ExWall0.png
25,300,0.22/30,3,R1.4,61.18,12.96,19.79,289746.71,83548.7,4961000,21347.49,5355642.9,28271,7956551,WWR0_ShadeDepth1_SHGCVLT0_U-Value0_ExWall0.png
50,300,0.22/30,3,R1.4,66.41,14.1,57.39,277680.74,82057.65,4860100,37014.9,5256853.29,30687,8080101,WWR1_ShadeDepth1_SHGCVLT0_U-Value0_ExWall0.png
75,300,0.22/30,3,R1.4,74.17,15.33,81.77,265614.76,80566.61,4759200,52682.32,5158063.69,34273,8311207,WWR2_ShadeDepth1_SHGCVLT0_U-Value0_ExWall0.png
25,600,0.22/30,3,R1.4,60.67,12.71,18.19,289746.71,83548.7,4961000,21347.49,5355642.9,28035,7934869,WWR0_ShadeDepth2_SHGCVLT0_U-Value0_ExWall0.png
50,600,0.22/30,3,R1.4,64.87,13.8,55.87,277680.74,82057.65,4860100,37014.9,5256853.29,29976,8014632,WWR1_ShadeDepth2_SHGCVLT0_U-Value0_ExWall0.png
75,600,0.22/30,3,R1.4,72.28,15.1,81.19,265614.76,80566.61,4759200,52682.32,5158063.69,33400,8230859,WWR2_ShadeDepth2_SHGCVLT0_U-Value0_ExWall0.png
25,0,0.45/50,3,R1.4,72.71,14.77,43.68,289746.71,83548.7,4961000,21347.49,5355642.9,33599,8446718,WWR0_ShadeDepth0_SHGCVLT1_U-Value0_ExWall0.png
50,0,0.45/50,3,R1.4,86.72,17.1,80.59,277680.74,82057.65,4860100,37014.9,5256853.29,40073,8943527,WWR1_ShadeDepth0_SHGCVLT1_U-Value0_ExWall0.png
75,0,0.45/50,3,R1.4,101.09,18.93,92.1,265614.76,80566.61,4759200,52682.32,5158063.69,46713,9455641,WWR2_ShadeDepth0_SHGCVLT1_U-Value0_ExWall0.png
25,300,0.45/50,3,R1.4,70.89,14.44,41.4,289746.71,83548.7,4961000,21347.49,5355642.9,32758,8369346,WWR0_ShadeDepth1_SHGCVLT1_U-Value0_ExWall0.png
50,300,0.45/50,3,R1.4,83.44,16.55,79.77,277680.74,82057.65,4860100,37014.9,5256853.29,38557,8804087,WWR1_ShadeDepth1_SHGCVLT1_U-Value0_ExWall0.png
75,300,0.45/50,3,R1.4,97.5,18.48,91.84,265614.76,80566.61,4759200,52682.32,5158063.69,45054,9303021,WWR2_ShadeDepth1_SHGCVLT1_U-Value0_ExWall0.png
25,600,0.45/50,3,R1.4,69.42,14.21,39.77,289746.71,83548.7,4961000,21347.49,5355642.9,32078,8306853,WWR0_ShadeDepth2_SHGCVLT1_U-Value0_ExWall0.png
50,600,0.45/50,3,R1.4,80.27,16.11,78.92,277680.74,82057.65,4860100,37014.9,5256853.29,37092,8669322,WWR1_ShadeDepth2_SHGCVLT1_U-Value0_ExWall0.png
75,600,0.45/50,3,R1.4,94.15,18.05,91.52,265614.76,80566.61,4759200,52682.32,5158063.69,43506,9160605,WWR2_ShadeDepth2_SHGCVLT1_U-Value0_ExWall0.png
25,0,0.7/65,3,R1.4,84.79,16.67,60.7,289746.71,83548.7,4961000,21347.49,5355642.9,39181,8960268,WWR0_ShadeDepth0_SHGCVLT2_U-Value0_ExWall0.png
50,0,0.7/65,3,R1.4,107.57,20.12,86.49,277680.74,82057.65,4860100,37014.9,5256853.29,49707,9829911,WWR1_ShadeDepth0_SHGCVLT2_U-Value0_ExWall0.png
75,0,0.7/65,3,R1.4,130.25,23.45,95.85,265614.76,80566.61,4759200,52682.32,5158063.69,60187,10695302,WWR2_ShadeDepth0_SHGCVLT2_U-Value0_ExWall0.png
25,300,0.7/65,3,R1.4,81.93,16.16,58.89,289746.71,83548.7,4961000,21347.49,5355642.9,37859,8838683,WWR0_ShadeDepth1_SHGCVLT2_U-Value0_ExWall0.png
