WWR-NS,WWR-EW,ShadeDepth,SHGC,VLT,ExWall,EUI (kWh/m2),ELECp (W/m2),CLGp (W/m2),Daylight Autonomy,Excessive Daylight,OT26% - Patient North,OT26% - Patient South,img,EUI Saved(-)Wasted(+),REF_ELECp,REF_CLGp,REF_DA,REF_ExcDA
20,20,0,0.22,0.3,1.4,115.83,19.82,41.91,14.54,0.82,0,0,WWR-NS0_WWR-EW0_ShadeDepth0_SHGCVLT0_ExWall0.png,-8.11,-11.08,-14.52,78.17,-78.19
40,20,0,0.22,0.3,1.4,120.51,21.31,45.97,33.53,1.66,1.74,1.62,WWR-NS1_WWR-EW0_ShadeDepth0_SHGCVLT0_ExWall0.png,-4.40,-4.40,-6.24,49.66,-55.85
60,20,0,0.22,0.3,1.4,125.37,22.69,49.77,60.37,2.83,11.27,5.33,WWR-NS2_WWR-EW0_ShadeDepth0_SHGCVLT0_ExWall0.png,-0.54,1.79,1.51,9.37,-24.73
80,20,0,0.22,0.3,1.4,130.21,24.06,53.33,71.34,4.18,20.49,8.96,WWR-NS3_WWR-EW0_ShadeDepth0_SHGCVLT0_ExWall0.png,3.30,7.94,8.77,-7.10,11.17
20,40,0,0.22,0.3,1.4,116.68,20.09,42.73,17.84,0.95,0,0,WWR-NS0_WWR-EW1_ShadeDepth0_SHGCVLT0_ExWall0.png,-7.43,-9.87,-12.85,73.22,-74.73
40,40,0,0.22,0.3,1.4,121.32,21.55,46.72,36.96,1.79,1.75,1.67,WWR-NS1_WWR-EW1_ShadeDepth0_SHGCVLT0_ExWall0.png,-3.75,-3.32,-4.71,44.51,-52.39
60,40,0,0.22,0.3,1.4,126.19,22.93,50.49,62.86,2.96,11.26,5.39,WWR-NS2_WWR-EW1_ShadeDepth0_SHGCVLT0_ExWall0.png,0.11,2.87,2.98,5.63,-21.28
80,40,0,0.22,0.3,1.4,131.02,24.29,54.02,73.33,4.32,20.53,9.21,WWR-NS3_WWR-EW1_ShadeDepth0_SHGCVLT0_ExWall0.png,3.94,8.97,10.18,-10.09,14.89
20,60,0,0.22,0.3,1.4,117.44,20.35,43.51,22.3,1.13,0,0,WWR-NS0_WWR-EW2_ShadeDepth0_SHGCVLT0_ExWall0.png,-6.83,-8.70,-11.26,66.52,-69.95
40,60,0,0.22,0.3,1.4,122.12,21.8,47.42,41.02,1.98,1.75,1.72,WWR-NS1_WWR-EW2_ShadeDepth0_SHGCVLT0_ExWall0.png,-3.12,-2.20,-3.28,38.42,-47.34
60,60,0,0.22,0.3,1.4,126.98,23.16,51.15,66.01,3.16,11.27,5.42,WWR-NS2_WWR-EW2_ShadeDepth0_SHGCVLT0_ExWall0.png,0.74,3.90,4.32,0.90,-15.96
80,60,0,0.22,0.3,1.4,131.8,24.5,54.65,75.89,4.53,20.54,9.36,WWR-NS3_WWR-EW2_ShadeDepth0_SHGCVLT0_ExWall0.png,4.56,9.91,11.46,-13.93,20.48
20,80,0,0.22,0.3,1.4,118.16,20.57,44.2,26.29,1.32,0,0,WWR-NS0_WWR-EW3_ShadeDepth0_SHGCVLT0_ExWall0.png,-6.26,-7.72,-9.85,60.53,-64.89
40,80,0,0.22,0.3,1.4,122.95,22.06,48.12,44.61,2.18,1.75,1.84,WWR-NS1_WWR-EW3_ShadeDepth0_SHGCVLT0_ExWall0.png,-2.46,-1.03,-1.86,33.03,-42.02
60,80,0,0.22,0.3,1.4,127.77,23.39,51.8,68.74,3.37,11.27,5.55,WWR-NS2_WWR-EW3_ShadeDepth0_SHGCVLT0_ExWall0.png,1.36,4.93,5.65,-3.20,-10.37
80,80,0,0.22,0.3,1.4,132.56,24.72,55.27,78.19,4.74,20.53,9.59,WWR-NS3_WWR-EW3_ShadeDepth0_SHGCVLT0_ExWall0.png,5.16,10.90,12.73,-17.38,26.06
20,20,300,0.22,0.3,1.4,114.97,19.61,41.31,12.72,0.56,0,0,WWR-NS0_WWR-EW0_ShadeDepth1_SHGCVLT0_ExWall0.png,-8.79,-12.02,-15.75,80.90,-85.11
40,20,300,0.22,0.3,1.4,118.92,20.91,44.97,31.74,1.08,0.54,0.74,WWR-NS1_WWR-EW0_ShadeDepth1_SHGCVLT0_ExWall0.png,-5.66,-6.19,-8.28,52.35,-71.28
60,20,300,0.22,0.3,1.4,123.58,22.25,48.64,59.2,2.25,7.44,4.22,WWR-NS2_WWR-EW0_ShadeDepth1_SHGCVLT0_ExWall0.png,-1.96,-0.18,-0.80,11.12,-40.16
80,20,300,0.22,0.3,1.4,128.42,23.64,52.23,70.63,3.57,18.17,7.98,WWR-NS3_WWR-EW0_ShadeDepth1_SHGCVLT0_ExWall0.png,1.88,6.06,6.53,-6.04,-5.05
20,40,300,0.22,0.3,1.4,115.69,19.85,42.05,16.05,0.64,0,0,WWR-NS0_WWR-EW1_ShadeDepth1_SHGCVLT0_ExWall0.png,-8.22,-10.95,-14.24,75.90,-82.98
40,40,300,0.22,0.3,1.4,119.63,21.14,45.65,35.18,1.17,0.54,0.8,WWR-NS1_WWR-EW1_ShadeDepth1_SHGCVLT0_ExWall0.png,-5.09,-5.16,-6.89,47.19,-68.88
60,40,300,0.22,0.3,1.4,124.29,22.46,49.29,61.73,2.34,7.44,4.32,WWR-NS2_WWR-EW1_ShadeDepth1_SHGCVLT0_ExWall0.png,-1.40,0.76,0.53,7.33,-37.77
80,40,300,0.22,0.3,1.4,129.08,23.81,52.82,72.63,3.66,18.11,8.08,WWR-NS3_WWR-EW1_ShadeDepth1_SHGCVLT0_ExWall0.png,2.40,6.82,7.73,-9.04,-2.66
20,60,300,0.22,0.3,1.4,116.39,20.08,42.78,20.57,0.82,0,0,WWR-NS0_WWR-EW2_ShadeDepth1_SHGCVLT0_ExWall0.png,-7.66,-9.91,-12.75,69.12,-78.19
40,60,300,0.22,0.3,1.4,120.41,21.39,46.34,39.29,1.34,0.54,0.9,WWR-NS1_WWR-EW2_ShadeDepth1_SHGCVLT0_ExWall0.png,-4.47,-4.04,-5.49,41.01,-64.36
60,60,300,0.22,0.3,1.4,125.05,22.69,49.94,64.88,2.52,7.45,4.42,WWR-NS2_WWR-EW2_ShadeDepth1_SHGCVLT0_ExWall0.png,-0.79,1.79,1.86,2.60,-32.98
80,60,300,0.22,0.3,1.4,129.83,24.03,53.45,75.24,3.86,18.16,8.25,WWR-NS3_WWR-EW2_ShadeDepth1_SHGCVLT0_ExWall0.png,3.00,7.81,9.01,-12.96,2.66
20,80,300,0.22,0.3,1.4,117.15,20.3,43.5,24.59,1.01,0,0,WWR-NS0_WWR-EW3_ShadeDepth1_SHGCVLT0_ExWall0.png,-7.06,-8.93,-11.28,63.08,-73.14
40,80,300,0.22,0.3,1.4,121.22,21.61,47.03,43.02,1.55,0.54,0.95,WWR-NS1_WWR-EW3_ShadeDepth1_SHGCVLT0_ExWall0.png,-3.83,-3.05,-4.08,35.42,-58.78
60,80,300,0.22,0.3,1.4,125.84,22.92,50.58,67.69,2.73,7.48,4.49,WWR-NS2_WWR-EW3_ShadeDepth1_SHGCVLT0_ExWall0.png,-0.17,2.83,3.16,-1.62,-27.39
80,80,300,0.22,0.3,1.4,130.6,24.25,54.06,77.56,4.08,18.14,8.5,WWR-NS3_WWR-EW3_ShadeDepth1_SHGCVLT0_ExWall0.png,3.61,8.79,10.26,-16.44,8.51
20,20,600,0.22,0.3,1.4,114.7,19.48,40.97,11.62,0.39,0,0,WWR-NS0_WWR-EW0_ShadeDepth2_SHGCVLT0_ExWall0.png,-9.00,-12.61,-16.44,82.56,-89.63
40,20,600,0.22,0.3,1.4,117.63,20.58,44.09,30.12,0.69,0.11,0.33,WWR-NS1_WWR-EW0_ShadeDepth2_SHGCVLT0_ExWall0.png,-6.68,-7.67,-10.08,54.78,-81.65
60,20,600,0.22,0.3,1.4,122.01,21.85,47.59,57.97,1.64,4.74,3.17,WWR-NS2_WWR-EW0_ShadeDepth2_SHGCVLT0_ExWall0.png,-3.21,-1.97,-2.94,12.97,-56.38
